model name is decoder 
queue 14.39 s, infer 25.45 s, input 38.95 s, output 14.29 s 
Batch_size 1 , 26248 times, infer 5388.86   ms, avg 0.21 ms, 0.21 ms input 8295.41   ms, avg 0.32 ms, output 3089.10   ms, avg 0.12 ms 
Batch_size 2 , 16771 times, infer 3685.87   ms, avg 0.22 ms, 0.11 ms input 5637.61   ms, avg 0.34 ms, output 2201.90   ms, avg 0.13 ms 
Batch_size 3 , 10521 times, infer 2402.45   ms, avg 0.23 ms, 0.08 ms input 3823.08   ms, avg 0.36 ms, output 1470.11   ms, avg 0.14 ms 
Batch_size 4 , 8574  times, infer 1958.98   ms, avg 0.23 ms, 0.06 ms input 3165.12   ms, avg 0.37 ms, output 1191.31   ms, avg 0.14 ms 
Batch_size 5 , 6176  times, infer 1518.41   ms, avg 0.25 ms, 0.05 ms input 2498.28   ms, avg 0.40 ms, output 925.87    ms, avg 0.15 ms 
Batch_size 6 , 4811  times, infer 1202.79   ms, avg 0.25 ms, 0.04 ms input 1906.30   ms, avg 0.40 ms, output 706.74    ms, avg 0.15 ms 
Batch_size 7 , 3714  times, infer 875.38    ms, avg 0.24 ms, 0.03 ms input 1517.04   ms, avg 0.41 ms, output 531.96    ms, avg 0.14 ms 
Batch_size 8 , 2972  times, infer 734.68    ms, avg 0.25 ms, 0.03 ms input 1265.68   ms, avg 0.43 ms, output 420.07    ms, avg 0.14 ms 
Batch_size 9 , 2413  times, infer 624.67    ms, avg 0.26 ms, 0.03 ms input 867.13    ms, avg 0.36 ms, output 325.73    ms, avg 0.13 ms 
Batch_size 10, 2165  times, infer 548.04    ms, avg 0.25 ms, 0.03 ms input 898.95    ms, avg 0.42 ms, output 313.79    ms, avg 0.14 ms 
Batch_size 11, 1850  times, infer 482.43    ms, avg 0.26 ms, 0.02 ms input 773.30    ms, avg 0.42 ms, output 255.69    ms, avg 0.14 ms 
Batch_size 12, 1548  times, infer 394.56    ms, avg 0.25 ms, 0.02 ms input 566.42    ms, avg 0.37 ms, output 200.46    ms, avg 0.13 ms 
Batch_size 13, 1418  times, infer 377.93    ms, avg 0.27 ms, 0.02 ms input 628.93    ms, avg 0.44 ms, output 219.02    ms, avg 0.15 ms 
Batch_size 14, 1205  times, infer 312.43    ms, avg 0.26 ms, 0.02 ms input 508.31    ms, avg 0.42 ms, output 165.75    ms, avg 0.14 ms 
Batch_size 15, 1081  times, infer 311.29    ms, avg 0.29 ms, 0.02 ms input 471.19    ms, avg 0.44 ms, output 184.28    ms, avg 0.17 ms 
Batch_size 16, 960   times, infer 241.78    ms, avg 0.25 ms, 0.02 ms input 387.98    ms, avg 0.40 ms, output 126.07    ms, avg 0.13 ms 
Batch_size 17, 898   times, infer 233.99    ms, avg 0.26 ms, 0.02 ms input 393.12    ms, avg 0.44 ms, output 111.86    ms, avg 0.12 ms 
Batch_size 18, 794   times, infer 211.24    ms, avg 0.27 ms, 0.01 ms input 339.29    ms, avg 0.43 ms, output 109.20    ms, avg 0.14 ms 
Batch_size 19, 756   times, infer 193.16    ms, avg 0.26 ms, 0.01 ms input 295.56    ms, avg 0.39 ms, output 102.77    ms, avg 0.14 ms 
Batch_size 20, 647   times, infer 164.05    ms, avg 0.25 ms, 0.01 ms input 294.10    ms, avg 0.45 ms, output 87.86     ms, avg 0.14 ms 
Batch_size 21, 601   times, infer 174.82    ms, avg 0.29 ms, 0.01 ms input 219.62    ms, avg 0.37 ms, output 86.40     ms, avg 0.14 ms 
Batch_size 22, 585   times, infer 143.94    ms, avg 0.25 ms, 0.01 ms input 253.31    ms, avg 0.43 ms, output 76.07     ms, avg 0.13 ms 
Batch_size 23, 557   times, infer 147.49    ms, avg 0.26 ms, 0.01 ms input 242.65    ms, avg 0.44 ms, output 65.50     ms, avg 0.12 ms 
